"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"1",1,"Aguascalientes",1,"Aguascalientes",0.979429978575866,0.965213874671829,0.736254847381819,0.854027649261123,0.994515658381533,0.990516387890157,0.993364945373699,0.995175689993573,0.997807131815261,0.862769874767686,0.946880482170462,15862.2512592511
"2",1,"Aguascalientes",3,"Calvillo",0.952195046279539,0.956094236760125,0.506709844559586,0.903322841547472,0.989411266412537,0.987364111252294,0.990470139771283,0.99131723845828,0.99428208386277,0.845333898065791,0.927220104475505,12184.6975827329
"3",1,"Aguascalientes",5,"Jesús María",0.967554810260232,0.958702916786996,0.659969914342902,0.85943341827719,0.990787878787879,0.986909090909091,0.990545454545455,0.992727272727273,0.995012987012987,0.84595670995671,0.919168831168831,23820.5879033513
"4",1,"Aguascalientes",7,"Rincón de Romos",0.964913264019281,0.977330662782229,0.675957894736842,0.891799782554152,0.990750593435377,0.967422444135221,0.984202341000246,0.973970696570353,0.991978390766964,0.78243431284276,0.885569288696079,8753.30669888955
"5",2,"Baja California",1,"Ensenada",0.964393416109305,0.966218661475297,0.659610866476274,0.861970539450795,0.985564527553478,0.853392831845871,0.926632667516645,0.911708457288568,0.985925768522454,0.79598385040374,0.912955092789347,14037.2308536983
"6",2,"Baja California",2,"Mexicali",0.984578541829163,0.969540827187238,0.7295351574356,0.84524775708602,0.991814263714381,0.951044060345689,0.987066812282739,0.966743723752071,0.992220794388499,0.864167077216712,0.965920326878223,17977.196033213
"7",2,"Baja California",3,"Tecate",0.976899556848642,0.978567302137493,0.656978312473025,0.885543069560759,0.98635973200481,0.941728225390826,0.933344786119223,0.977048617076104,0.981790070434633,0.836007558838687,0.93650575502491,11688.3730446026
"8",2,"Baja California",4,"Tijuana",0.983179612989049,0.969698076810662,0.69669336619429,0.788261305756033,0.985924995150912,0.977221936430565,0.981746346317645,0.985149141078943,0.996268310577758,0.781048920972516,0.940512232351428,15226.8827766432
"9",3,"Baja California Sur",1,"Comondú",0.949891149313115,0.971391417425228,0.602667318761521,0.908039095358549,0.964272353161242,0.893191170968949,0.954592218481107,0.943181818181818,0.970071081182192,0.695332959221848,0.889824167601945,12948.7222608986
"10",3,"Baja California Sur",2,"Mulegé",0.949939909401867,0.957933653077538,0.561663535360564,0.911778740273088,0.979658035076145,0.852053438891638,0.972290945076695,0.846170762548793,0.979438121941833,0.644675353235472,0.822969926878883,11708.5252709714
